datetime,reply_status,flags,node,channel,channel_address,point_category,point_number,logical_point_number,logical_point_zone,device_type,auxiliary_point_attributes,group,area_type,area_number,sector_id,loop_type,raw_identity,actual_device_type,mode_and_sensitivity,raw_analogue_values1,raw_analogue_values2,raw_analogue_values3,lta_flags,raw_lta,dirtiness,units_of_measure1,units_of_measure2,units_of_measure3,converted_value1,converted_value2,converted_value3,instantaneous_active_state,instantaneous_fault_state,confirmed_active_state,confirmed_fault_state,acknowledged_active_state,acknowledged_fault_state,output_forced_mode,output_unforced_state,output_forced_state
Thu Jan 11 23:51:17 2024,Success,None,0,MP CPU/Software Channel,0,Real,1,1,1,855 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),1,20,504,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,2,2,1,855 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),3,21,513,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,3,3,1,855 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),0,22,512,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,4,4,1,855 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,1,%/m obscuration,Degrees C,ppm (parts per million),3,23,508,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,5,5,1,855 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),0,21,509,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,6,6,1,855 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),1,22,517,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,7,7,1,855 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),0,23,516,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,8,8,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),0,22,512,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,9,9,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),0,21,522,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,10,10,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),0,23,517,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,11,11,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),0,19,509,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,12,12,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,2,%/m obscuration,Degrees C,ppm (parts per million),2,20,510,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,13,13,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,1,%/m obscuration,Degrees C,ppm (parts per million),4,21,504,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,14,14,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),1,22,513,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,15,15,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,1,%/m obscuration,Degrees C,ppm (parts per million),0,23,512,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,16,16,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,1,%/m obscuration,Degrees C,ppm (parts per million),4,21,508,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,17,17,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,2,%/m obscuration,Degrees C,ppm (parts per million),4,22,509,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,18,18,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),0,23,517,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,19,19,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,3,%/m obscuration,Degrees C,ppm (parts per million),3,22,516,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,20,20,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),3,21,512,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,21,21,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,1,%/m obscuration,Degrees C,ppm (parts per million),2,23,522,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,22,22,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,1,%/m obscuration,Degrees C,ppm (parts per million),2,19,517,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,23,23,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),1,20,509,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,24,24,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,1,%/m obscuration,Degrees C,ppm (parts per million),2,21,510,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,25,25,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),1,22,504,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,26,26,1,835 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),2,23,513,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,27,27,1,835 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),1,21,512,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,28,28,1,835 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),0,22,508,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,29,29,1,835 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),1,23,509,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,30,30,1,835 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),0,22,517,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,31,31,1,835 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),0,21,516,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,32,32,1,835 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),1,23,512,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,1,1,2,830 P,2,0,2,1,2,Thorn,2,0,0,0,0,0,205,0,2,%/m obscuration,Invalid,Invalid,2,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,2,2,2,830 P,2,0,2,2,2,Thorn,2,0,0,0,0,0,205,0,0,%/m obscuration,Invalid,Invalid,0,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,3,3,2,830 P,2,0,2,3,2,Thorn,2,0,0,0,0,0,205,0,0,%/m obscuration,Invalid,Invalid,0,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,4,4,2,830 P,2,0,2,4,2,Thorn,2,0,0,0,0,0,205,0,3,%/m obscuration,Invalid,Invalid,1,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,5,5,2,830 P,2,0,2,5,2,Thorn,2,0,0,0,0,0,205,0,0,%/m obscuration,Invalid,Invalid,2,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,6,6,2,830 P,2,0,2,6,2,Thorn,2,0,0,0,0,0,205,0,0,%/m obscuration,Invalid,Invalid,2,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,7,7,2,830 P,2,0,2,7,2,Thorn,2,0,0,0,0,0,205,0,1,%/m obscuration,Invalid,Invalid,2,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,8,8,2,830 P,2,0,2,1,2,Thorn,2,0,0,0,0,0,205,0,3,%/m obscuration,Invalid,Invalid,2,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,9,9,2,855 P,2,0,2,2,2,Thorn,2,0,0,0,0,0,205,0,0,%/m obscuration,Invalid,Invalid,1,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,10,10,2,855 P,2,0,2,3,2,Thorn,2,0,0,0,0,0,205,0,0,%/m obscuration,Invalid,Invalid,0,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,11,11,2,855 P,2,0,2,4,2,Thorn,2,0,0,0,0,0,205,0,6,%/m obscuration,Invalid,Invalid,3,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,12,12,2,855 P,2,0,2,5,2,Thorn,2,0,0,0,0,0,205,0,0,%/m obscuration,Invalid,Invalid,1,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,13,13,2,855 P,2,0,2,6,2,Thorn,2,0,0,0,0,0,205,0,0,%/m obscuration,Invalid,Invalid,1,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 23:51:18 2024,Success,None,0,MP CPU/Software Channel,0,Real,14,14,2,855 P,2,0,2,7,2,Thorn,2,0,0,0,0,0,205,0,1,%/m obscuration,Invalid,Invalid,1,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
