datetime,reply_status,flags,node,channel,channel_address,point_category,point_number,logical_point_number,logical_point_zone,device_type,auxiliary_point_attributes,group,area_type,area_number,sector_id,loop_type,raw_identity,actual_device_type,mode_and_sensitivity,raw_analogue_values1,raw_analogue_values2,raw_analogue_values3,lta_flags,raw_lta,dirtiness,units_of_measure1,units_of_measure2,units_of_measure3,converted_value1,converted_value2,converted_value3,instantaneous_active_state,instantaneous_fault_state,confirmed_active_state,confirmed_fault_state,acknowledged_active_state,acknowledged_fault_state,output_forced_mode,output_unforced_state,output_forced_state
Thu Jan 11 19:02:42 2024,Failure,,0,MP CPU/Software Channel,0,Real,1,1,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,0,%/m obscuration,Degrees C,ppm (parts per million),0,0,0,Clear,136,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 19:02:42 2024,Success,,0,MP CPU/Software Channel,0,Real,2,2,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,3,%/m obscuration,Degrees C,ppm (parts per million),3,22,508,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 19:02:42 2024,Success,,0,MP CPU/Software Channel,0,Real,3,3,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,4,%/m obscuration,Degrees C,ppm (parts per million),4,23,521,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 19:02:42 2024,Success,,0,MP CPU/Software Channel,0,Real,4,4,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,2,%/m obscuration,Degrees C,ppm (parts per million),2,20,514,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 19:02:42 2024,Success,,0,MP CPU/Software Channel,0,Real,5,5,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,3,%/m obscuration,Degrees C,ppm (parts per million),3,23,510,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 19:02:42 2024,Success,,0,MP CPU/Software Channel,0,Real,6,6,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,4,%/m obscuration,Degrees C,ppm (parts per million),4,24,511,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 19:02:42 2024,Success,,0,MP CPU/Software Channel,0,Real,7,7,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,2,%/m obscuration,Degrees C,ppm (parts per million),2,23,517,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 19:02:42 2024,Success,,0,MP CPU/Software Channel,0,Real,8,8,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,3,%/m obscuration,Degrees C,ppm (parts per million),3,22,524,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 19:02:42 2024,Success,Loop Fault,0,MP CPU/Software Channel,0,Real,9,9,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,4,%/m obscuration,Degrees C,ppm (parts per million),5,24,522,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Thu Jan 11 19:02:42 2024,Success,,0,MP CPU/Software Channel,0,Real,10,10,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,2,%/m obscuration,Degrees C,ppm (parts per million),2,24,518,Clear,0,0,0,0,0,Currently Unforced,Off,Off
