datetime,reply_status,flags,node,channel,channel_address,point_category,point_number,logical_point_number,logical_point_zone,device_type,auxiliary_point_attributes,group,area_type,area_number,sector_id,loop_type,raw_identity,actual_device_type,mode_and_sensitivity,raw_analogue_values1,raw_analogue_values2,raw_analogue_values3,lta_flags,raw_lta,dirtiness,units_of_measure1,units_of_measure2,units_of_measure3,converted_value1,converted_value2,converted_value3,instantaneous_active_state,instantaneous_fault_state,confirmed_active_state,confirmed_fault_state,acknowledged_active_state,acknowledged_fault_state,output_forced_mode,output_unforced_state,output_forced_state
Fri Dec 29 01:04:27 2023,Success,nan,0,MP CPU/Software Channel,0,Real,1,1,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,70,%/m obscuration,Degrees C,ppm (parts per million),2,30,6,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Fri Dec 29 01:04:27 2023,Success,nan,0,MP CPU/Software Channel,0,Real,2,2,1,850 PC,3,0,1,2,1,Thorn,1,0,0,0,0,0,241,0,80,%/m obscuration,Degrees C,ppm (parts per million),1,32,7,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Fri Dec 29 01:04:27 2023,Success,nan,0,MP CPU/Software Channel,0,Real,3,3,1,850 PC,3,0,1,3,1,Thorn,1,0,0,0,0,0,241,0,90,%/m obscuration,Degrees C,ppm (parts per million),3,31,8,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Fri Dec 29 01:04:27 2023,Success,nan,0,MP CPU/Software Channel,0,Real,4,4,1,850 PC,3,0,1,4,1,Thorn,1,0,0,0,0,0,241,0,85,%/m obscuration,Degrees C,ppm (parts per million),5,30,9,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Fri Dec 29 01:04:27 2023,Success,nan,0,MP CPU/Software Channel,0,Real,5,5,1,850 PC,3,0,1,5,1,Thorn,1,0,0,0,0,0,241,0,74,%/m obscuration,Degrees C,ppm (parts per million),4,30,8,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Fri Dec 29 01:04:27 2023,Success,nan,0,MP CPU/Software Channel,0,Real,6,6,1,850 PC,3,0,1,6,1,Thorn,1,0,0,0,0,0,241,0,66,%/m obscuration,Degrees C,ppm (parts per million),7,32,7,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Fri Dec 29 01:04:27 2023,Success,nan,0,MP CPU/Software Channel,0,Real,7,7,1,850 PC,3,0,1,7,1,Thorn,1,0,0,0,0,0,241,0,72,%/m obscuration,Degrees C,ppm (parts per million),9,31,7,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Fri Dec 29 01:04:27 2023,Success,nan,0,MP CPU/Software Channel,0,Real,8,8,1,850 PC,3,0,1,8,1,Thorn,1,0,0,0,0,0,241,0,80,%/m obscuration,Degrees C,ppm (parts per million),8,30,6,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Wed Apr 19 08:56:45 2023,Success,nan,0,MP CPU/Software Channel,0,Real,1,1,2,855 P,2,0,2,1,2,Thorn,2,0,0,0,0,0,205,0,81,%/m obscuration,Invalid,Invalid,2,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Wed Apr 19 08:56:45 2023,Success,nan,0,MP CPU/Software Channel,0,Real,2,2,2,855 P,2,0,2,2,2,Thorn,2,0,0,0,0,0,205,0,81,%/m obscuration,Invalid,Invalid,3,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Wed Apr 19 08:56:45 2023,Success,nan,0,MP CPU/Software Channel,0,Real,3,3,2,855 P,2,0,2,3,2,Thorn,2,0,0,0,0,0,205,0,81,%/m obscuration,Invalid,Invalid,6,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Wed Apr 19 08:56:45 2023,Success,nan,0,MP CPU/Software Channel,0,Real,4,4,2,855 P,2,0,2,4,2,Thorn,2,0,0,0,0,0,205,0,81,%/m obscuration,Invalid,Invalid,8,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Wed Apr 19 08:56:45 2023,Success,nan,0,MP CPU/Software Channel,0,Real,5,5,2,855 P,2,0,2,5,2,Thorn,2,0,0,0,0,0,205,0,81,%/m obscuration,Invalid,Invalid,7,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Wed Apr 19 08:56:45 2023,Success,nan,0,MP CPU/Software Channel,0,Real,6,6,2,855 P,2,0,2,6,2,Thorn,2,0,0,0,0,0,205,0,81,%/m obscuration,Invalid,Invalid,9,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Wed Apr 19 08:56:45 2023,Success,nan,0,MP CPU/Software Channel,0,Real,7,7,2,855 P,2,0,2,7,2,Thorn,2,0,0,0,0,0,205,0,81,%/m obscuration,Invalid,Invalid,1,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Wed Apr 19 11:48:36 2023,Success,nan,0,MP CPU/Software Channel,0,Real,1,1,3,840 H,4,0,3,1,3,Thorn,3,0,0,0,0,0,127,1,96,Invalid,Degrees C,Invalid,12,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Wed Apr 19 11:48:36 2023,Success,nan,0,MP CPU/Software Channel,0,Real,2,2,3,840 H,4,0,3,2,3,Thorn,3,0,0,0,0,0,127,1,96,Invalid,Degrees C,Invalid,12,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Wed Apr 19 11:48:36 2023,Success,nan,0,MP CPU/Software Channel,0,Real,3,3,3,840 H,4,0,3,3,3,Thorn,3,0,0,0,0,0,127,1,96,Invalid,Degrees C,Invalid,12,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Wed Apr 19 11:48:36 2023,Success,nan,0,MP CPU/Software Channel,0,Real,4,4,3,840 H,4,0,3,4,3,Thorn,3,0,0,0,0,0,127,1,96,Invalid,Degrees C,Invalid,12,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Wed Apr 19 11:48:36 2023,Success,nan,0,MP CPU/Software Channel,0,Real,5,5,3,840 H,4,0,3,5,3,Thorn,3,0,0,0,0,0,127,1,96,Invalid,Degrees C,Invalid,12,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Wed Apr 19 11:48:36 2023,Success,nan,0,MP CPU/Software Channel,0,Real,6,6,3,840 H,4,0,3,6,3,Thorn,3,0,0,0,0,0,127,1,96,Invalid,Degrees C,Invalid,12,0,0,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Wed Apr 19 11:22:01 2023,Success,nan,0,MP CPU/Software Channel,0,Real,1,1,4,835 PH,5,0,4,1,4,Thorn,4,0,0,0,0,0,126,1,132,%/m obscuration,Degrees C,Invalid,128,129,126,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Wed Apr 19 11:22:01 2023,Success,nan,0,MP CPU/Software Channel,0,Real,2,2,4,835 PH,5,0,4,2,4,Thorn,4,0,0,0,0,0,126,1,132,%/m obscuration,Degrees C,Invalid,128,129,126,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Wed Apr 19 11:22:01 2023,Success,nan,0,MP CPU/Software Channel,0,Real,3,3,4,835 PH,5,0,4,3,4,Thorn,4,0,0,0,0,0,126,1,132,%/m obscuration,Degrees C,Invalid,128,129,126,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Wed Apr 19 11:22:01 2023,Success,nan,0,MP CPU/Software Channel,0,Real,4,4,4,835 PH,5,0,4,4,4,Thorn,4,0,0,0,0,0,126,1,132,%/m obscuration,Degrees C,Invalid,128,129,126,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Wed Apr 19 11:22:01 2023,Success,nan,0,MP CPU/Software Channel,0,Real,5,5,4,835 PH,5,0,4,5,4,Thorn,4,0,0,0,0,0,126,1,132,%/m obscuration,Degrees C,Invalid,128,129,126,Clear,0,0,0,0,0,Currently Unforced,Off,Off
Mon Jan 01 17:19:26 2024,Failure,Loop Fault,0,MP CPU/Software Channel,0,Real,1,1,1,850 PC,3,0,1,1,1,Thorn,1,0,0,0,0,0,241,0,70,%/m obscuration,Degrees C,ppm (parts per million),2,30,7,Clear,216,0,204,0,29,Currently Unforced,Off,Off
